EVENT_ID | YEAR | BOOK | GUARDIAN | CHARACTER | ROLE | REGION | SCENE_CONTEXT
150 | 1939 | Book 9 | Rosa | none | observer | Europe | historical context placeholder
151 | 1940 | Book 10 | Rosa / Theodora Bassi | none | observer | Italy | historical context placeholder
152 | 1943 | Book 10 | Theodora Bassi | none | observer | Sicily | historical context placeholder
153 | 1943 | Book 10 | Theodora Bassi | none | observer | Italy | historical context placeholder
154 | 1944 | Book 10 | Theodora Bassi | none | observer | Italy | historical context placeholder
155 | 1945 | Book 10 | Theodora Bassi | none | observer | Europe / Italy | historical context placeholder
156 | 1946 | Book 10 | Theodora Bassi | none | observer | Italy | historical context placeholder
157 | 1948 | Book 10 | Theodora Bassi | none | observer | Italy | historical context placeholder
158 | 1957 | Book 10 | Theodora Bassi | none | observer | Rome | historical context placeholder
159 | 1963 | Book 10 | Theodora Bassi | none | observer | Italy | historical context placeholder
160 | 1968 | Book 10 | Theodora Bassi | none | observer | Italy / Europe | historical context placeholder
161 | 1969 | Book 10 | Theodora Bassi | none | observer | Italy | historical context placeholder
162 | 1970s | Book 10 | Theodora Bassi | none | observer | Europe / Italy | historical context placeholder
163 | 1978 | Book 10 | Theodora Bassi | none | observer | Italy | historical context placeholder
164 | 1980 | Book 10 | Theodora Bassi | none | observer | Southern Italy | historical context placeholder
165 | 1985 | Book 10 | Theodora Bassi / Final Guardian | none | observer | Southern Italy | historical context placeholder
166 | 1986 | Book 11 | Final Guardian | none | observer | Europe | historical context placeholder
167 | 1989 | Book 11 | Final Guardian | none | observer | Europe | historical context placeholder
168 | 1991 | Book 11 | Final Guardian | none | observer | Europe / global | historical context placeholder
169 | 1992 | Book 11 | Final Guardian | none | observer | Europe | historical context placeholder
170 | 1990s | Book 11 | Final Guardian | none | observer | Global / Europe | historical context placeholder
171 | 1992 | Book 11 | Final Guardian | none | observer | Italy | historical context placeholder
172 | 1997 | Book 11 | Final Guardian | none | observer | Global | historical context placeholder
173 | 1999 | Book 11 | Final Guardian | none | observer | Europe / Italy | historical context placeholder
174 | 2001 | Book 11 | Final Guardian | none | observer | Global | historical context placeholder
175 | 2002 | Book 11 | Final Guardian | none | observer | Italy / Europe | historical context placeholder
176 | 2008 | Book 11 | Final Guardian | none | observer | Global / Europe | historical context placeholder
177 | 2009 | Book 11 | Final Guardian | none | observer | Italy | historical context placeholder
178 | 2015 | Book 11 | Final Guardian | none | observer | Global | historical context placeholder
179 | 2016 | Book 11 | Final Guardian | none | observer | Italy | historical context placeholder
180 | 2020 | Book 11 | Final Guardian | none | observer | Global / Italy | historical context placeholder
